66,198,396,660,990,1386,1848,2376,2970,3630,4356,5148,6006,6930,7920,8976,10098,11286,12540,13860,15246,16698,18216,19800,21450,23166,24948,26796,28710,30690,32736,34848,37026,39270,41580,43956,46398,48906,51480,54120,56826,59598,62436,65340,68310,71346,74448,77616,80850,84150,87516,90948,94446,98010,101640,105336,109098,112926,116820,120780,124806,128898,133056,137280,141570,145926,150348,154836,159390,164010,168696,173448,178266,183150,188100,193116,198198,203346,208560,213840,219186,224598,230076,235620,241230,246906,252648,258456,264330,270270,276276,282348,288486,294690,300960,307296,313698,320166,326700,333300
78,234,468,780,1170,1638,2184,2808,3510,4290,5148,6084,7098,8190,9360,10608,11934,13338,14820,16380,18018,19734,21528,23400,25350,27378,29484,31668,33930,36270,38688,41184,43758,46410,49140,51948,54834,57798,60840,63960,67158,70434,73788,77220,80730,84318,87984,91728,95550,99450,103428,107484,111618,115830,120120,124488,128934,133458,138060,142740,147498,152334,157248,162240,167310,172458,177684,182988,188370,193830,199368,204984,210678,216450,222300,228228,234234,240318,246480,252720,259038,265434,271908,278460,285090,291798,298584,305448,312390,319410,326508,333684,340938,348270,355680,363168,370734,378378,386100,393900
91,273,546,910,1365,1911,2548,3276,4095,5005,6006,7098,8281,9555,10920,12376,13923,15561,17290,19110,21021,23023,25116,27300,29575,31941,34398,36946,39585,42315,45136,48048,51051,54145,57330,60606,63973,67431,70980,74620,78351,82173,86086,90090,94185,98371,102648,107016,111475,116025,120666,125398,130221,135135,140140,145236,150423,155701,161070,166530,172081,177723,183456,189280,195195,201201,207298,213486,219765,226135,232596,239148,245791,252525,259350,266266,273273,280371,287560,294840,302211,309673,317226,324870,332605,340431,348348,356356,364455,372645,380926,389298,397761,406315,414960,423696,432523,441441,450450,459550
105,315,630,1050,1575,2205,2940,3780,4725,5775,6930,8190,9555,11025,12600,14280,16065,17955,19950,22050,24255,26565,28980,31500,34125,36855,39690,42630,45675,48825,52080,55440,58905,62475,66150,69930,73815,77805,81900,86100,90405,94815,99330,103950,108675,113505,118440,123480,128625,133875,139230,144690,150255,155925,161700,167580,173565,179655,185850,192150,198555,205065,211680,218400,225225,232155,239190,246330,253575,260925,268380,275940,283605,291375,299250,307230,315315,323505,331800,340200,348705,357315,366030,374850,383775,392805,401940,411180,420525,429975,439530,449190,458955,468825,478800,488880,499065,509355,519750,530250
120,360,720,1200,1800,2520,3360,4320,5400,6600,7920,9360,10920,12600,14400,16320,18360,20520,22800,25200,27720,30360,33120,36000,39000,42120,45360,48720,52200,55800,59520,63360,67320,71400,75600,79920,84360,88920,93600,98400,103320,108360,113520,118800,124200,129720,135360,141120,147000,153000,159120,165360,171720,178200,184800,191520,198360,205320,212400,219600,226920,234360,241920,249600,257400,265320,273360,281520,289800,298200,306720,315360,324120,333000,342000,351120,360360,369720,379200,388800,398520,408360,418320,428400,438600,448920,459360,469920,480600,491400,502320,513360,524520,535800,547200,558720,570360,582120,594000,606000
136,408,816,1360,2040,2856,3808,4896,6120,7480,8976,10608,12376,14280,16320,18496,20808,23256,25840,28560,31416,34408,37536,40800,44200,47736,51408,55216,59160,63240,67456,71808,76296,80920,85680,90576,95608,100776,106080,111520,117096,122808,128656,134640,140760,147016,153408,159936,166600,173400,180336,187408,194616,201960,209440,217056,224808,232696,240720,248880,257176,265608,274176,282880,291720,300696,309808,319056,328440,337960,347616,357408,367336,377400,387600,397936,408408,419016,429760,440640,451656,462808,474096,485520,497080,508776,520608,532576,544680,556920,569296,581808,594456,607240,620160,633216,646408,659736,673200,686800
153,459,918,1530,2295,3213,4284,5508,6885,8415,10098,11934,13923,16065,18360,20808,23409,26163,29070,32130,35343,38709,42228,45900,49725,53703,57834,62118,66555,71145,75888,80784,85833,91035,96390,101898,107559,113373,119340,125460,131733,138159,144738,151470,158355,165393,172584,179928,187425,195075,202878,210834,218943,227205,235620,244188,252909,261783,270810,279990,289323,298809,308448,318240,328185,338283,348534,358938,369495,380205,391068,402084,413253,424575,436050,447678,459459,471393,483480,495720,508113,520659,533358,546210,559215,572373,585684,599148,612765,626535,640458,654534,668763,683145,697680,712368,727209,742203,757350,772650
171,513,1026,1710,2565,3591,4788,6156,7695,9405,11286,13338,15561,17955,20520,23256,26163,29241,32490,35910,39501,43263,47196,51300,55575,60021,64638,69426,74385,79515,84816,90288,95931,101745,107730,113886,120213,126711,133380,140220,147231,154413,161766,169290,176985,184851,192888,201096,209475,218025,226746,235638,244701,253935,263340,272916,282663,292581,302670,312930,323361,333963,344736,355680,366795,378081,389538,401166,412965,424935,437076,449388,461871,474525,487350,500346,513513,526851,540360,554040,567891,581913,596106,610470,625005,639711,654588,669636,684855,700245,715806,731538,747441,763515,779760,796176,812763,829521,846450,863550
190,570,1140,1900,2850,3990,5320,6840,8550,10450,12540,14820,17290,19950,22800,25840,29070,32490,36100,39900,43890,48070,52440,57000,61750,66690,71820,77140,82650,88350,94240,100320,106590,113050,119700,126540,133570,140790,148200,155800,163590,171570,179740,188100,196650,205390,214320,223440,232750,242250,251940,261820,271890,282150,292600,303240,314070,325090,336300,347700,359290,371070,383040,395200,407550,420090,432820,445740,458850,472150,485640,499320,513190,527250,541500,555940,570570,585390,600400,615600,630990,646570,662340,678300,694450,710790,727320,744040,760950,778050,795340,812820,830490,848350,866400,884640,903070,921690,940500,959500
210,630,1260,2100,3150,4410,5880,7560,9450,11550,13860,16380,19110,22050,25200,28560,32130,35910,39900,44100,48510,53130,57960,63000,68250,73710,79380,85260,91350,97650,104160,110880,117810,124950,132300,139860,147630,155610,163800,172200,180810,189630,198660,207900,217350,227010,236880,246960,257250,267750,278460,289380,300510,311850,323400,335160,347130,359310,371700,384300,397110,410130,423360,436800,450450,464310,478380,492660,507150,521850,536760,551880,567210,582750,598500,614460,630630,647010,663600,680400,697410,714630,732060,749700,767550,785610,803880,822360,841050,859950,879060,898380,917910,937650,957600,977760,998130,1018710,1039500,1060500
